Dato;Navn;Valuta;Antal;GAK;I dag %;Seneste kurs;Belåningsværdi DKK;Værdi;Værdi DKK;Ureal.afkast %;Afkast DKK
22-11-2025;Amundi Nasdaq-100 II UCITS ETF Acc;EUR;2;69,2764;0;85,18;1081,529614;170,36;1272,387781;22,82;236,4111429
23-11-2025;iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc);EUR;4;26,4472;0;34,81;831,9665397;139,24;1039,958175;31,48;249,0025417
